,movie,year,imdb,votes,metascore
420,Phone Booth,(2002),7.1,237722,56
421,Red Dragon,(2002),7.2,232783,60
422,Resident Evil,(2002),6.7,232738,33
423,8 Mile,(2002),7.1,229441,77
424,Road to Perdition,(2002),7.7,228965,72
425,Firefly,(2002–2003),9.0,227447,NaN
426,Chicago,(2002),7.2,201851,82
427,Die Another Day,(2002),6.1,192506,56
428,A Walk to Remember,(2002),7.4,188846,35
429,Blade II,(2002),6.7,187388,52
430,Austin Powers in Goldmember,(2002),6.2,184955,62
431,Ying xiong,(2002),7.9,166486,85
432,xXx,(2002),5.9,166462,48
433,Adaptation.,(2002),7.7,165639,83
434,25th Hour,(2002),7.7,163026,67
435,About a Boy,(2002),7.1,162002,75
436,Lilo & Stitch,(2002),7.2,151489,73
437,Bowling for Columbine,(2002),8.0,135094,72
438,Punch-Drunk Love,(2002),7.3,133429,78
439,Mr. Deeds,(2002),5.8,127680,24
440,The Scorpion King,(2002),5.5,123461,45
441,We Were Soldiers,(2002),7.2,121709,65
442,The Count of Monte Cristo,(2002),7.8,120839,61
443,Reign of Fire,(2002),6.2,120117,39
444,About Schmidt,(2002),7.2,117579,85
445,The Hours,(2002),7.6,117058,80
446,John Q,(2002),7.1,115753,30
447,My Big Fat Greek Wedding,(2002),6.6,113973,62
448,The Time Machine,(2002),5.9,113330,42
449,Mou gaan dou,(2002),8.1,111173,75
450,The Lord of the Rings: The Two Towers,(2002),8.7,1359908,87
451,Catch Me If You Can,(2002),8.1,725048,75
452,Cidade de Deus,(2002),8.6,648700,79
453,The Pianist,(2002),8.5,648514,85
454,Spider-Man,(2002),7.3,643786,73
455,Star Wars: Episode II - Attack of the Clones,(2002),6.6,577874,54
456,Harry Potter and the Chamber of Secrets,(2002),7.4,496392,63
457,The Bourne Identity,(2002),7.9,476970,68
458,Minority Report,(2002),7.6,471752,80
459,Ice Age,(2002),7.5,404816,60
460,Gangs of New York,(2002),7.6,373200,72
461,28 Days Later...,(2002),7.6,347085,73
462,Signs,(2002),6.7,318182,59
463,Men in Black II,(2002),6.1,316908,49
464,The Ring,(2002),7.1,299330,57
